date,query,page,clicks,impressions,ctr,position
2024-01-01,ielts coaching near me,https://www.eduminatti.com/study-in-canada,0,7,0.57,30.1
2024-01-01,study abroad consultants in india,https://www.eduminatti.com/study-in-australia,5,184,3.19,12.8
2024-01-01,education consultancy fees,https://www.eduminatti.com/study-in-australia,0,49,1.86,36.2
2024-01-01,top engineering colleges abroad,https://www.eduminatti.com/study-in-australia,0,22,2.52,23.3
2024-01-01,new zealand student visa,https://www.eduminatti.com/,0,15,2.25,38.3
2024-01-01,student visa canada 2024,https://www.eduminatti.com/study-in-usa,8,85,9.7,15.0
2024-01-01,usa student visa f1,https://www.eduminatti.com/study-in-usa,4,127,3.68,6.5
2024-01-01,best universities in canada for indian students,https://www.eduminatti.com/study-in-usa,0,7,2.32,30.8
2024-01-01,germany education consultants,https://www.eduminatti.com/student-visa,4,126,3.55,7.6
2024-01-01,study in uk for indian students,https://www.eduminatti.com/study-in-germany,1,44,2.71,41.7
2024-01-02,mba abroad consultants,https://www.eduminatti.com/,3,38,8.64,12.6
2024-01-02,best country to study abroad,https://www.eduminatti.com/student-visa,10,113,8.9,12.2
2024-01-02,top engineering colleges abroad,https://www.eduminatti.com/study-in-australia,6,127,4.89,9.4
2024-01-02,free education in germany,https://www.eduminatti.com/study-in-canada,0,11,1.45,43.0
2024-01-02,student visa canada 2024,https://www.eduminatti.com/study-in-usa,7,98,7.91,11.7
2024-01-02,australia study visa process,https://www.eduminatti.com/scholarships,0,28,0.91,32.3
2024-01-02,best universities in canada for indian students,https://www.eduminatti.com/study-in-canada,0,15,1.84,31.0
2024-01-03,new zealand student visa,https://www.eduminatti.com/ielts-coaching,0,29,1.45,30.4
2024-01-03,pte coaching classes,https://www.eduminatti.com/,0,12,2.2,34.5
2024-01-03,top engineering colleges abroad,https://www.eduminatti.com/scholarships,1,40,2.65,27.2
2024-01-03,study in uk for indian students,https://www.eduminatti.com/study-in-canada,5,70,8.54,8.9
2024-01-03,student visa canada 2024,https://www.eduminatti.com/student-visa,0,42,1.57,27.6
2024-01-03,australia study visa process,https://www.eduminatti.com/about-us,0,19,2.99,20.9
2024-01-03,education consultancy fees,https://www.eduminatti.com/scholarships,3,65,4.73,8.4
2024-01-03,germany education consultants,https://www.eduminatti.com/study-in-uk,0,10,2.39,26.2
2024-01-04,education consultancy fees,https://www.eduminatti.com/study-in-germany,0,16,1.77,48.6
2024-01-04,germany education consultants,https://www.eduminatti.com/study-in-canada,0,24,2.6,43.7
2024-01-04,ielts coaching near me,https://www.eduminatti.com/student-visa,0,14,1.43,31.0
2024-01-04,scholarship for indian students abroad,https://www.eduminatti.com/study-in-uk,1,38,2.8,27.7
2024-01-04,abroad education loan india,https://www.eduminatti.com/about-us,0,6,0.78,17.2
2024-01-04,student visa canada 2024,https://www.eduminatti.com/study-in-usa,0,24,1.1,44.1
2024-01-04,top engineering colleges abroad,https://www.eduminatti.com/study-in-australia,0,10,0.71,44.1
2024-01-04,study abroad consultants in india,https://www.eduminatti.com/scholarships,0,39,2.41,41.1
2024-01-04,usa student visa f1,https://www.eduminatti.com/study-in-uk,0,40,0.91,33.5
2024-01-05,new zealand student visa,https://www.eduminatti.com/study-in-australia,0,41,1.94,27.7
2024-01-05,free education in germany,https://www.eduminatti.com/study-in-canada,0,27,1.56,33.5
2024-01-05,germany education consultants,https://www.eduminatti.com/study-in-australia,0,31,0.98,39.6
2024-01-05,scholarship for indian students abroad,https://www.eduminatti.com/study-in-canada,0,22,2.17,26.4
2024-01-05,uk student visa requirements,https://www.eduminatti.com/scholarships,0,8,2.18,43.4
2024-01-05,australia study visa process,https://www.eduminatti.com/study-in-australia,0,5,0.68,30.0
2024-01-05,abroad education loan india,https://www.eduminatti.com/study-in-australia,21,121,18.0,4.6
2024-01-05,masters in data science abroad,https://www.eduminatti.com/scholarships,0,33,0.8,45.1
2024-01-05,study in uk for indian students,https://www.eduminatti.com/,3,38,9.02,12.6
2024-01-06,top engineering colleges abroad,https://www.eduminatti.com/about-us,0,38,0.89,24.6
2024-01-06,education consultancy fees,https://www.eduminatti.com/student-visa,37,421,8.97,4.5
2024-01-06,abroad education loan india,https://www.eduminatti.com/study-in-germany,3,44,7.05,12.1
2024-01-06,study in canada after 12th,https://www.eduminatti.com/student-visa,0,36,0.89,33.6
2024-01-06,pte coaching classes,https://www.eduminatti.com/ielts-coaching,7,146,5.0,14.4
2024-01-06,masters in data science abroad,https://www.eduminatti.com/ielts-coaching,0,15,1.45,45.3
2024-01-06,germany education consultants,https://www.eduminatti.com/study-in-australia,9,154,6.37,9.6
2024-01-06,best country to study abroad,https://www.eduminatti.com/student-visa,0,10,2.82,42.0
2024-01-06,best universities in canada for indian students,https://www.eduminatti.com/study-in-canada,0,40,0.74,23.0
2024-01-06,ielts coaching near me,https://www.eduminatti.com/study-in-uk,0,22,1.66,22.0
2024-01-07,scholarship for indian students abroad,https://www.eduminatti.com/study-in-canada,0,28,1.21,44.1
2024-01-07,best universities in canada for indian students,https://www.eduminatti.com/study-in-australia,0,13,2.83,26.0
2024-01-07,australia study visa process,https://www.eduminatti.com/about-us,0,11,0.68,49.9
2024-01-07,top engineering colleges abroad,https://www.eduminatti.com/study-in-usa,0,9,0.52,46.6
2024-01-07,ielts coaching near me,https://www.eduminatti.com/scholarships,0,50,1.26,41.9
2024-01-07,masters in data science abroad,https://www.eduminatti.com/study-in-australia,0,25,1.1,34.0
2024-01-07,uk student visa requirements,https://www.eduminatti.com/about-us,0,25,2.84,28.9
2024-01-07,student visa canada 2024,https://www.eduminatti.com/about-us,0,44,0.7,30.3
